State,Fruits,Vegetables,Fruits,Vegetables
U.S. National,37.7,22.6,1.1,1.6
Alabama,43.8,24.3,1,1.6
Alaska,38.7,19.7,1.1,1.7
Arkansas,47.5,28.6,1,1.5
Colorado,35.7,19.1,1.1,1.7
Delaware,39.2,23.8,1,1.6
Florida,37.7,22.6,1.1,1.6
Hawaii,39.5,22.6,1,1.7
Illinois,36,25.2,1.1,1.6
Iowa,39.8,26.9,1,1.4
Kentucky,45.9,25.2,1,1.5
Maine,33.2,18.9,1.2,1.7
Massachusetts,31.6,20.7,1.2,1.7
Minnesota,36.2,23.6,1.1,1.5
Missouri,43.9,25.2,1,1.5
Nebraska,40.1,26.2,1,1.5
New Hampshire,30.3,17.6,1.3,1.8
New Mexico,38,21.9,1.1,1.7
North Carolina,40.8,21.9,1,1.6
Ohio,40.5,26,1,1.5
Oregon,32,15.3,1.1,1.9
Rhode Island,32.9,20.7,1.2,1.6
South Dakota,39.6,26.3,1,1.4
Texas,40.3,21.8,1,1.6
Vermont,31.4,18.1,1.3,1.7
Washington,35,18.8,1.1,1.7
Wisconsin,35.6,26,1.1,1.5
Arizona,38,20.6,1.1,1.7
California,30.4,16.5,1.3,1.8
Connecticut,32,20.6,1.3,1.7
District of Columbia,31.7,20.1,1.3,1.8
Georgia,41.9,23.2,1,1.6
Idaho,38.1,20.1,1.1,1.6
Indiana,41.6,27.3,1,1.5
Kansas,41.4,22.2,1,1.6
Louisiana,46.7,32.5,1,1.4
Maryland,36.4,22.8,1.1,1.6
Michigan,37.3,23.2,1.1,1.6
Mississippi,50.8,32.3,0.9,1.4
Montana,39.2,21.7,1,1.6
Nevada,36.9,24.4,1.1,1.6
New Jersey,33.9,22.2,1.1,1.6
NewYork,33.9,23,1.2,1.6
North Dakota,39.1,27.1,1.1,1.4
Oklahoma,50.2,26.8,0.9,1.5
Pennsylvania,36.1,23.9,1.1,1.5
South Carolina,44.4,27.3,1,1.5
Tennessee,46.3,25.4,1,1.6
Utah,34.9,19.8,1.1,1.7
Virginia,38.4,22.2,1.1,1.7
West Virginia,47.2,26.2,1,1.5
Wyoming,38.2,22.4,1.1,1.6
